Country,Area,Waterbody Type,Date,Ammonia (mg/l),Biochemical Oxygen Demand (mg/l),Dissolved Oxygen (mg/l),Orthophosphate (mg/l),pH (ph units),Temperature (cel),Nitrogen (mg/l),Nitrate (mg/l),CCME_Values,CCME_WQI
Canada,SE649035-145565,River,12-01-1974,0.059248,1.3,8.15,0.0119167,8.075,9.885,0.343917,11.73155,100.0,Excellent
Canada,SE649035-145565,River,12-01-1975,0.03982071,1.38,7.8,0.00941667,7.73333,10.15,0.449083,11.82009,100.0,Excellent
Canada,SE649035-145565,River,12-01-1976,0.03134129,2.23,7.8,0.011,7.46667,10.235,0.22075,14.87472,100.0,Excellent
Canada,SE649035-145565,River,12-01-1977,0.02050071,1.61,8.15,0.0123333,7.78333,11.116,0.57225,15.89293,100.0,Excellent
Canada,SE649035-145565,River,12-01-1978,0.020022604,1.64,4.3708,0.00618182,7.1,7.068,0.371091,15.22888,100.0,Excellent
Canada,SE649035-145565,River,12-01-1979,0.03821071,1.46,9.824,0.00791667,8.03333,9.815,0.274167,15.9372,100.0,Excellent
Canada,SE649035-145565,River,12-01-1980,0.07448929,1.61,10.7167,0.013,7.79,7.916,0.226917,22.48916,100.0,Excellent
Canada,SE649035-145565,River,12-01-1981,0.04164529,1.36,11.684103383014412,0.0169167,7.72,11.0354,0.382667,13.7237,100.0,Excellent
Canada,SE649035-145565,River,12-01-1982,0.05270071,2.36,9.2,0.0135,7.9,11.2686,0.312583,15.98147,100.0,Excellent
Canada,SE649035-145565,River,12-01-1983,0.039459683,3.3,11.684103383014412,0.008,7.86,9.62823,0.305727,17.66373,100.0,Excellent
Canada,SE649035-145565,River,12-01-1984,0.05205671,1.86,0.0583333,0.0130833,7.68,10.852,0.241417,16.68979,100.0,Excellent
Canada,SE649035-145565,River,12-01-1985,0.02082271,2.32,0.183333,0.00683333,7.13333,10.65,0.418333,19.12464,100.0,Excellent
Canada,SE649035-145565,River,12-01-1986,0.03885471,2.62,7.65,0.00875,7.68,8.069,0.336167,18.01789,100.0,Excellent
Canada,SE649035-145565,River,12-01-1987,0.043148,5.8166,8.57,0.0104546,6.31667,7.737,0.134833,18.19497,100.0,Excellent
Canada,SE649035-145565,River,12-01-1988,0.033166,3.5217,8.42,0.0111667,6.68333,8.469,0.408917,4.9312353,100.0,Excellent
Canada,SE649035-145565,River,12-01-1989,0.03713729,5.74,8.0,0.0155,9.06667,16.8,0.243667,20.40847,93.18818917901118,Good
Canada,SE649035-145565,River,12-01-1990,0.033488,3.6692,11.0,0.0138182,8.7,11.2381,0.215818,7.1203868,93.1947241989784,Good
Canada,SE649035-145565,River,12-01-1991,0.03456129,5.56,11.684103383014412,0.00775,8.4,16.456,0.2685,6.848569,100.0,Excellent
Canada,LTR1,River,12-01-1992,0.292376,5.977,9.8,2.064,9.08571,2.55,0.171273,3.059057,53.46405349825263,Marginal
Canada,LI110048,River,12-01-1993,0.01288,5.24545,9.61,0.05,7.41429,12.0,0.193636,12.21852,100.0,Excellent
Canada,LI110048,River,12-01-1994,0.01288,5.3,10.85,0.03,7.79,11.6,0.302833,7.9686,100.0,Excellent
Canada,LTR1,River,12-01-1995,0.473984,5.133,10.7,0.039,5.22,12.0,0.356,2.009858,100.0,Excellent
Canada,LI110048,River,12-01-1996,0.15456,5.2884,9.824,0.02,8.38,12.0,0.3001,8.854,100.0,Excellent
Canada,LI110048,River,12-01-1997,0.02576,5.26,9.2346,0.01,8.2833,12.0,0.244167,9.2967,100.0,Excellent
Canada,LI110048,River,12-01-1998,0.1288,3.832,9.3885,0.02,8.0862,12.0,0.39375,6.1978,100.0,Excellent
Canada,LI110048,River,12-01-1999,0.1288,3.3423,10.5667,0.02,8.1062,10.33,0.35425,11.5102,100.0,Excellent
Canada,LI110048,River,12-01-2000,0.05152,3.9076,11.684103383014412,0.01,8.37,10.0,0.241667,9.7394,100.0,Excellent
Canada,LI110048,River,12-01-2001,0.0644,3.3307,8.8,0.01,8.1667,10.27,0.276,10.6248,100.0,Excellent
Canada,LI110048,River,12-01-2002,0.07728,3.1916,10.0333,0.01,8.0167,10.0,0.319,8.72119,100.0,Excellent
Canada,LI110048,River,12-01-2003,0.09016,3.77391,11.475,0.01,7.79,8.68,0.202,9.51805,100.0,Excellent
Canada,LI110048,River,12-01-2004,0.10304,5.06,11.7333,0.01,8.1583,8.43,0.355,8.63265,100.0,Excellent
Canada,LI110048,River,12-01-2005,0.10304,4.43182,11.4333,0.01,7.79,9.84,0.303,8.76546,100.0,Excellent
Canada,LI110048,River,12-01-2006,0.10304,4.36364,8.691,0.01,7.7615,10.35,0.281,12.8383,100.0,Excellent
Canada,LI110048,River,12-01-2007,0.11592,1.41667,10.73,0.02,7.79,10.75,0.415,9.07535,100.0,Excellent
Canada,LI110048,River,12-01-2008,0.1288,1.33333,10.6167,0.02,7.4,8.35,0.343,11.42166,100.0,Excellent
Canada,LI110048,River,12-01-2009,0.07728,1.5667,9.4456,0.01,7.79,9.72,0.239,9.20816,100.0,Excellent
Canada,LI110049,River,12-01-2010,0.07728,3.0,9.063,0.02,7.76667,9.88,0.341,10.04929,100.0,Excellent
Canada,LVV0130100,River,10-04-2010,0.094024,1.53,8.9667,0.014,7.79,17.15,0.354,3.023641,100.0,Excellent
Canada,RO24100,River,08-06-2010,0.0140392,2.31,11.684103383014412,0.061,8.32727,12.5,0.4,5.83682,93.11672543579722,Good
Canada,LI110048,River,12-01-2011,0.046368,1.85,10.1042,0.012,7.61944,7.7,0.323,5.825932,100.0,Excellent
Canada,SE649583-127553,River,05-03-2011,0.097888,2.13333,10.075,0.01,8.3375,12.5,0.4,1.651271,100.0,Excellent
Canada,RO90100,River,10-04-2011,0.11162671,1.9,6.9743,0.01745,7.83,14.4,0.4,3.438304809,100.0,Excellent
Canada,LTR1,River,12-01-2012,0.04186,2.46143,7.5656,0.04175,8.20833,10.2667,0.333,4.10050875,100.0,Excellent
Canada,LVV0130100,River,10-04-2012,0.05581329,1.53333,10.66,0.0106,7.79,12.0,0.4,2.331554809,100.0,Excellent
Canada,FISW_36,Lake,10-04-1978,0.1,2.13333,8.6694,0.0,7.79,9.0,0.0,0.0,100.0,Excellent
Canada,FISW_657,Lake,12-01-1980,0.065688,2.13333,8.456,0.003,7.79,8.19,0.417,0.053124,100.0,Excellent
